,AllIC,xBottom,xTop,yBottom,yTop
20150106,0.08054733377853532,0.12622047717150375,0.049028831039209485,0.16669518610335915,-0.10014788394192005
20150107,0.37867219832467647,0.27138886326353917,0.15229914978750858,0.5298686091945083,-0.15319200411710995
20150108,0.28560392764044745,0.21708442717789753,0.09130790115265411,0.37864050407797084,-0.15173732582505803
20150109,0.4244119985711205,0.18610032442037674,0.1461395560457994,0.40777776031564505,0.03687163388861889
20150112,0.3857517298557389,0.14957547341828237,0.15004481629522998,0.19863346570224658,0.21803423139339204
20150113,0.26955249097582645,0.11215134853266681,0.0709695386385043,-0.06383709068413254,0.33414937133966444
20150114,0.01781811054181809,0.016094565708663827,-0.025916595890245822,-0.10912460537709961,0.17573846185603073
20150115,-0.07028686142429971,-0.01047511758084635,-0.05035079068665375,-0.2618671094804354,0.25812975702394214
20150116,-0.2674443001477171,-0.34220382574969266,0.13574408126128948,-0.4016023688627982,0.18298722367846443
20150119,-0.036204621178076074,-0.2943982939682674,0.24136391627390114,-0.2980170834342059,0.24453377820066982
20150120,-0.3145792434431224,-0.3448704789764354,0.04122306322795327,-0.7631337341349756,0.46973770302591206
20150121,-0.30523253320064386,-0.3046028825048738,0.02347917073366668,-0.696147810186641,0.3934735980054348
20150122,-0.12866202488155748,-0.15214967388568737,0.0668155103202655,-0.3875406975920778,0.36854164672058265
20150123,-0.1314064445756662,-0.11376978005721299,0.07247531460763615,-0.43404215680531316,0.42242614944866186
20150126,-0.24669122238247343,-0.19160443892924742,-0.0163549989611822,-0.6809699870400587,0.4617545677800373
20150127,-0.22837360182961786,-0.21876347801393634,0.0030474668529880122,-0.5987187891549193,0.3799112792624535
20150128,-0.28312810374327363,-0.2532785122980326,-0.012666483787529905,-0.6663424431122992,0.38582748630329866
20150129,-0.3745444578975846,-0.28229371518911334,-0.14483796804648832,-0.7721083906765562,0.4396074598184366
20150130,-0.46156676241603134,-0.4228454497684825,-0.0932123154760046,-0.9361757445287713,0.5455824382777028
